sample_id,official_seq_index,token_id,token,char_start,char_end,raw_text_substring,ids_exact,attention_exact,segments_exact,mapping_status,scope_limit
01,1,6419,replacing,0,9,Replacing,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,2,2122,these,10,15,these,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,3,4929,wear,16,20,wear,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,4,6177,components,21,31,components,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,5,2043,when,32,36,when,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,6,6419,replacing,37,46,replacing,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,7,1996,the,47,50,the,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,8,10984,timing,51,57,timing,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,9,5583,belt,58,62,belt,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,10,2003,is,63,65,is,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,11,6827,essential,66,75,essential,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,12,2000,to,76,78,to,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,13,12725,ensuring,79,87,ensuring,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,14,1996,the,88,91,the,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,15,2047,new,92,95,new,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,16,5583,belt,96,100,belt,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,17,10438,performs,101,109,performs,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,18,2000,to,110,112,to,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,19,2049,its,113,116,its,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,20,3542,mile,117,121,mile,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,21,4270,##age,121,124,age,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
01,22,5918,requirements,125,137,requirements,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
02,1,2057,we,0,2,We,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
02,2,2215,want,3,7,want,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
02,3,2000,to,8,10,to,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
02,4,2444,live,11,15,live,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
02,5,2011,by,16,18,by,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
02,6,2169,each,19,23,each,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
02,7,2060,other,24,29,other,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
02,8,1521,’,29,30,’,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
02,9,1055,s,30,31,s,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
02,10,8404,happiness,32,41,happiness,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
02,11,1011,-,42,43,-,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
02,12,2025,not,44,47,not,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
02,13,2011,by,48,50,by,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
02,14,2169,each,51,55,each,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
02,15,2060,other,56,61,other,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
02,16,1521,’,61,62,’,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
02,17,1055,s,62,63,s,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
02,18,14624,misery,64,70,misery,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
02,19,1012,.,70,71,.,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,1,2045,there,0,5,There,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,2,1005,',5,6,',True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,3,1055,s,6,7,s,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,4,2028,one,8,11,one,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,5,18496,lend,12,16,lend,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,6,2121,##er,16,18,er,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,7,2012,at,19,21,at,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,8,1996,the,22,25,the,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,9,2617,moment,26,32,moment,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,10,2029,which,33,38,which,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,11,1045,i,39,40,I,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,12,2228,think,41,46,think,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,13,2003,is,47,49,is,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,14,2074,just,50,54,just,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,15,2924,bank,55,59,Bank,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,16,19650,##west,59,63,west,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,17,2040,who,64,67,who,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,18,2123,don,68,71,don,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,19,1005,',71,72,',True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,20,1056,t,72,73,t,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,21,2202,take,74,78,take,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,22,12635,rental,79,85,rental,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,23,3318,income,86,92,income,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,24,2046,into,93,97,into,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,25,4070,account,98,105,account,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,26,1010,",",105,106,",",True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,27,2027,they,107,111,they,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,28,2202,take,112,116,take,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,29,12635,rental,117,123,rental,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,30,10750,yield,124,129,yield,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,31,2046,into,130,134,into,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,32,4070,account,135,142,account,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
03,33,1012,.,142,143,.,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
04,1,2065,if,0,2,If,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
04,2,1045,i,3,4,I,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
04,3,6271,blow,5,9,blow,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
04,4,2009,it,10,12,it,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
04,5,2012,at,13,15,at,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
04,6,1996,the,16,19,the,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
04,7,2136,team,20,24,team,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
04,8,6912,exercise,25,33,exercise,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
04,9,1010,",",33,34,",",True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
04,10,2323,should,35,41,should,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
04,11,1045,i,42,43,I,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
04,12,3610,kiss,44,48,kiss,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
04,13,2026,my,49,51,my,True,True,True,token_span_candidate_only,text_bert token row only; continuous text feature row provenance not established
