编号,题目要求,现行实现,核心证据,验收状态,边界说明
R01,从附件1原始视频建立完整处理流程,"以label-100.xlsx和100个原始MP4为输入，经身份校验、presentation-time解码、RoBERTa/openSMILE/MediaPipe提取、分支路由、NPZ封装和全量验证形成闭环","README.md；code/run_q1_v1.py；machine_audit/machine_checks.json",PASS,"未使用附件2预计算特征替代Q1输出"
R02,明确文本情感特征定义与提取方法,"官方文本保持不改写；roberta-base固定revision；保存token级768维表示、offset、attention mask及池化所需映射","01_全量特征合同.md；02_字段与文件规范.md；metadata/model_assets.json；reports/Q1方法与结果说明.md",PASS,"ASR仅作诊断，不替换official_text"
R03,明确语音情感特征定义与提取方法,"对原MP4实际音轨按presentation timeline解码；openSMILE eGeMAPSv02提取25维LLD及真实窗时间；词级分支聚合为50维均值和标准差，clip分支保留原生窗序列","01_全量特征合同.md；02_字段与文件规范.md；environment.json；machine_audit/sample_checks_100.csv",PASS,"数字静音仍保存真实低能量/静音观测，并以audio_speech_valid区分内容有效性"
R04,明确视觉情感特征定义与提取方法,"按解码PTS提取原始视频帧；MediaPipe Face Landmarker输出52维blendshape、face mask与覆盖率；词级分支聚合为104维，clip分支保留原生帧序列","01_全量特征合同.md；02_字段与文件规范.md；metadata/model_assets.json；machine_audit/machine_checks.json",PASS,"无脸不等于视频缺失；24条无有效人脸样本保留原始帧PTS和显式mask"
R05,明确跨模态时序对齐规则与实现逻辑,"所有样本的音频与视频共享presentation-time坐标；有可信词时间的5条建立word-level文本—A/V映射；其余按clip-only或unavailable保存官方文本和原生A/V，不伪造词时间","Q1时序定义补充说明_2026-09-24.md；01_全量特征合同.md；reports/Q1方法与结果说明.md；examples/典型对应验证.md",PASS_WITH_DISCLOSED_BOUNDARY,"100条并非全部逐词三模态对齐：5条word-level、90条clip_only、5条unavailable"
R06,原始样本覆盖完整,"100个官方样本键=100行manifest=100个NPZ，集合完全一致","machine_audit/machine_checks.json；machine_audit/sample_checks_100.csv；manifest.csv",PASS,"逐样本机器检查100/100通过"
R07,样本编号、模态文件与输出特征一一对应,"每行manifest记录sample_key、源MP4 SHA-256、输出相对路径和三模态存在/有效状态；每个样本仅有一个正式NPZ","input_manifest.csv；manifest.csv；features/；machine_audit/input_snapshot_sha256.json",PASS,"模态存在性、内容有效性和跨模态对应状态分别记录"
R08,时序序列位置可核验,"文本保存token/词序；音频保存window_start/end；视频保存PTS/support区间；词级分支保存word_start/end及底层索引","02_字段与文件规范.md；examples/典型对应验证.md；machine_audit/machine_checks.json",PASS,"使用真实解码时间，不用frame_index/fps替代PTS"
R09,有效长度与填充规则可核验,"原生文本、音频窗、视频帧分别保存真实长度；正式NPZ采用变长序列且不做磁盘padding；逐词占位数组必须与validity mask共同读取","01_全量特征合同.md；02_字段与文件规范.md；code/feature_reader.py",PASS,"不存在要求三种原生序列第一维相等的承诺"
R10,与原始素材的对应记录完整,"输入清单固定label和每个MP4的SHA-256；逐样本日志记录源身份、覆盖区间、模型资产和输出哈希；审计重新解码核对A/V PTS覆盖","input_manifest.csv；logs/；machine_audit/input_snapshot_sha256.json；machine_audit/machine_checks.json",PASS,"官方标签表SHA-256为827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33"
