sample_id,modality,official_seq_index,prior_mapping_status,current_script_immediate_cause,tokenizer_char_offset_candidate_exact,candidate_char_start,candidate_char_end,candidate_token,candidate_raw_text_substring,verified_official_feature_row_mapping,remaining_A_source_provenance_gap
01,text,1,index_only,B_PRECHECK_UNCONDITIONAL_FAIL_CLOSED_INDEX_ONLY_FALLBACK,True,0,9,replacing,Replacing,False,raw_text_to_text_bert_token_offset_candidate_available; continuous_text_feature_row_provenance_not_verified
01,text,2,index_only,B_PRECHECK_UNCONDITIONAL_FAIL_CLOSED_INDEX_ONLY_FALLBACK,True,10,15,these,these,False,raw_text_to_text_bert_token_offset_candidate_available; continuous_text_feature_row_provenance_not_verified
01,text,3,index_only,B_PRECHECK_UNCONDITIONAL_FAIL_CLOSED_INDEX_ONLY_FALLBACK,True,16,20,wear,wear,False,raw_text_to_text_bert_token_offset_candidate_available; continuous_text_feature_row_provenance_not_verified
01,text,4,index_only,B_PRECHECK_UNCONDITIONAL_FAIL_CLOSED_INDEX_ONLY_FALLBACK,True,21,31,components,components,False,raw_text_to_text_bert_token_offset_candidate_available; continuous_text_feature_row_provenance_not_verified
01,text,5,index_only,B_PRECHECK_UNCONDITIONAL_FAIL_CLOSED_INDEX_ONLY_FALLBACK,True,32,36,when,when,False,raw_text_to_text_bert_token_offset_candidate_available; continuous_text_feature_row_provenance_not_verified
01,text,6,index_only,B_PRECHECK_UNCONDITIONAL_FAIL_CLOSED_INDEX_ONLY_FALLBACK,True,37,46,replacing,replacing,False,raw_text_to_text_bert_token_offset_candidate_available; continuous_text_feature_row_provenance_not_verified
01,text,7,index_only,B_PRECHECK_UNCONDITIONAL_FAIL_CLOSED_INDEX_ONLY_FALLBACK,True,47,50,the,the,False,raw_text_to_text_bert_token_offset_candidate_available; continuous_text_feature_row_provenance_not_verified
01,text,8,index_only,B_PRECHECK_UNCONDITIONAL_FAIL_CLOSED_INDEX_ONLY_FALLBACK,True,51,57,timing,timing,False,raw_text_to_text_bert_token_offset_candidate_available; continuous_text_feature_row_provenance_not_verified
01,text,9,index_only,B_PRECHECK_UNCONDITIONAL_FAIL_CLOSED_INDEX_ONLY_FALLBACK,True,58,62,belt,belt,False,raw_text_to_text_bert_token_offset_candidate_available; continuous_text_feature_row_provenance_not_verified
01,text,10,index_only,B_PRECHECK_UNCONDITIONAL_FAIL_CLOSED_INDEX_ONLY_FALLBACK,True,63,65,is,is,False,raw_text_to_text_bert_token_offset_candidate_available; continuous_text_feature_row_provenance_not_verified
01,text,11,index_only,B_PRECHECK_UNCONDITIONAL_FAIL_CLOSED_INDEX_ONLY_FALLBACK,True,66,75,essential,essential,False,raw_text_to_text_bert_token_offset_candidate_available; continuous_text_feature_row_provenance_not_verified
01,text,12,index_only,B_PRECHECK_UNCONDITIONAL_FAIL_CLOSED_INDEX_ONLY_FALLBACK,True,76,78,to,to,False,raw_text_to_text_bert_token_offset_candidate_available; continuous_text_feature_row_provenance_not_verified
01,text,13,index_only,B_PRECHECK_UNCONDITIONAL_FAIL_CLOSED_INDEX_ONLY_FALLBACK,True,79,87,ensuring,ensuring,False,raw_text_to_text_bert_token_offset_candidate_available; continuous_text_feature_row_provenance_not_verified
