sample_key,output_file,alignment_mode,text_audio_correspondence,audio_speech_valid,words,audio_windows,video_frames,face_frames,valid_word_times,audio_word_count,vision_word_count,roberta_tokens,pcm_peak,all_checks_pass
-3g5yACwYnA$_$13,features/-3g5yACwYnA___13.npz,UNCERTAIN_REVIEW,not_asserted,-1,15,535,163,163,0,0,0,19,0.14309161901474,True
-3g5yACwYnA$_$2,features/-3g5yACwYnA___2.npz,UNCERTAIN_REVIEW,not_asserted,-1,14,919,278,278,0,0,0,19,0.1554868519306183,True
-3g5yACwYnA$_$3,features/-3g5yACwYnA___3.npz,TRI_MODAL_WORD_VALID,confirmed_match,1,29,1428,431,431,29,29,29,40,0.15289120376110077,True
-3g5yACwYnA$_$9,features/-3g5yACwYnA___9.npz,UNCERTAIN_REVIEW,not_asserted,-1,21,865,263,263,0,0,0,30,0.20144641399383545,True
-3nNcZdcdvU$_$5,features/-3nNcZdcdvU___5.npz,UNCERTAIN_REVIEW,not_asserted,-1,18,774,236,235,0,0,0,22,0.3519861400127411,True
-571d8cVauQ$_$0,features/-571d8cVauQ___0.npz,UNCERTAIN_REVIEW,not_asserted,-1,12,495,152,0,0,0,0,20,0.18150749802589417,True
-571d8cVauQ$_$5,features/-571d8cVauQ___5.npz,UNCERTAIN_REVIEW,not_asserted,-1,43,1507,455,0,0,0,0,53,0.17488785088062286,True
-6rXp3zJ3kc$_$8,features/-6rXp3zJ3kc___8.npz,UNCERTAIN_REVIEW,not_asserted,-1,34,1269,384,384,0,0,0,39,0.7105945348739624,True
-9y-fZ3swSY$_$0,features/-9y-fZ3swSY___0.npz,UNCERTAIN_REVIEW,not_asserted,-1,22,671,205,205,0,0,0,31,0.5832126140594482,True
-9y-fZ3swSY$_$4,features/-9y-fZ3swSY___4.npz,UNCERTAIN_REVIEW,not_asserted,-1,9,262,81,79,0,0,0,14,1.0024819374084473,True
-9y-fZ3swSY$_$8,features/-9y-fZ3swSY___8.npz,UNCERTAIN_REVIEW,not_asserted,-1,12,487,149,117,0,0,0,17,0.6094566583633423,True
-AUZQgSxyPQ$_$2,features/-AUZQgSxyPQ___2.npz,UNCERTAIN_REVIEW,not_asserted,-1,41,2236,674,674,0,0,0,59,0.7867392301559448,True
