sample_key,video_id,clip_id,official_text,official_text_sha256,source_relpath,source_mp4_sha256,source_label_xlsx_sha256,stage1_duration_proxy_sec,alignment_trace_sha256,status,output_file,output_sha256,output_bytes,modalities,original_effective_duration_sec,feature_dims_json,text_sequence_length,audio_observation_length,video_observation_length,alignment_mode,alignment_granularity,text_audio_correspondence,text_av_time_mapping_status,text_present,text_content_valid,audio_present,audio_observation_valid,audio_speech_valid,video_present,audio_visual_time_valid,vision_feature_valid,face_feature_valid,official_word_count,valid_word_time_count,text_word_valid_count,audio_word_valid_count,vision_word_valid_count,audio_coverage_start_sec,audio_coverage_end_sec,video_coverage_start_sec,video_coverage_end_sec,av_common_coverage_start_sec,av_common_coverage_end_sec,opensmile_config_sha256,roberta_asset_identity_sha256,config_sha256,mediapipe_model_sha256,process_rss_bytes,runtime_sec,error
-3g5yACwYnA$_$13,-3g5yACwYnA,13,They've been able to find solutions or at least bring some answers to the table.,16bee1b5ecbd8d2632c5d48e5629380ddae687005479cd6e775fcffb79b58dd8,-3g5yACwYnA/13.mp4,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,5.513997,a16b95d3e1fee8f8ff32f8cb01139fed559e649e73dde208ef89725d44559dfc,PASS,features/-3g5yACwYnA___13.npz,c66d16bd049849e58c4786104ec00b5b7e04f05b2f144a3d5d6d2f6580c21790,137795,text|audio|video,5.5,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",15,535,163,UNCERTAIN_REVIEW,clip,not_asserted,clip_only,1,1,1,1,-1,1,1,1,1,15,0,15,0,0,0.0,5.399125,0.0,5.5,0.0,5.399125,ef451953badced2ed112ba4ffb997f9d2a7e7c444a09e8092665eadd9f24109e,4066801753f5b2a2402a46e231cc1f85fd52a5970e937644b99fc1cbb3bfeb5b,ff357861a0053b817523940844e8d285a915e3aa22051b26a102cf5be7ecfef6,64184e229b263107bc2b804c6625db1341ff2bb731874b0bcc2fe6544e0bc9ff,354861056,3.3627333999611437,
-3g5yACwYnA$_$2,-3g5yACwYnA,2,Key Polymer brings a technical aspect to our operation that we don't have internally.,3d29e4bd12105ed426b7ec516a3eafc8f4d8363f8c284ea20b5944e014777e04,-3g5yACwYnA/2.mp4,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,9.39401,2b67dae4c637399219e5d5f7c92d486f86f0a4c74ea661a3fc571aab8da1eed5,PASS,features/-3g5yACwYnA___2.npz,9a2c1c7db86845f5ca9bd04abc0dd939f0c96ee5203454d67bd21179d746263c,191173,text|audio|video,9.366666666666667,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",14,919,278,UNCERTAIN_REVIEW,clip,not_asserted,clip_only,1,1,1,1,-1,1,1,1,1,14,0,14,0,0,0.0,9.2313125,0.0,9.366666666666667,0.0,9.2313125,ef451953badced2ed112ba4ffb997f9d2a7e7c444a09e8092665eadd9f24109e,4066801753f5b2a2402a46e231cc1f85fd52a5970e937644b99fc1cbb3bfeb5b,ff357861a0053b817523940844e8d285a915e3aa22051b26a102cf5be7ecfef6,64184e229b263107bc2b804c6625db1341ff2bb731874b0bcc2fe6544e0bc9ff,349122560,4.932574899983592,
-3g5yACwYnA$_$3,-3g5yACwYnA,3,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",e34429bb59081603d60a09b558b648c0a68e8f0cd59532d1b1f62cb45ee5d0b7,-3g5yACwYnA/3.mp4,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,14.388997,ce20db0743dd75c37be8e994277451c04e071728bafb7326967b914b65fb1507,PASS,features/-3g5yACwYnA___3.npz,ae1ecd90ce577c87800e1d6eb000ef03592ed3f39541f053d05db841fb07509e,324165,text|audio|video,14.366666666666667,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",29,1428,431,TRI_MODAL_WORD_VALID,word,confirmed_match,word_valid,1,1,1,1,1,1,1,1,1,29,29,29,29,29,0.0,14.327875,0.0,14.366666666666667,0.0,14.327875,ef451953badced2ed112ba4ffb997f9d2a7e7c444a09e8092665eadd9f24109e,4066801753f5b2a2402a46e231cc1f85fd52a5970e937644b99fc1cbb3bfeb5b,ff357861a0053b817523940844e8d285a915e3aa22051b26a102cf5be7ecfef6,64184e229b263107bc2b804c6625db1341ff2bb731874b0bcc2fe6544e0bc9ff,353017856,7.25440360000357,
-3g5yACwYnA$_$9,-3g5yACwYnA,9,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",edf40f3bc90720a15b5edde898ad73ac8914812e2e3d6da541110446b6376f81,-3g5yACwYnA/9.mp4,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,8.816992,7873fbc328d5d44c6335ffc13f8a1afa16d05c1317cb55cce276ce04f169ae99,PASS,features/-3g5yACwYnA___9.npz,95cccbfca157ce194725ee0fdbe2e48001de0b4e41b49c15320ecf43e46c37b0,204470,text|audio|video,8.8,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",21,865,263,UNCERTAIN_REVIEW,clip,not_asserted,clip_only,1,1,1,1,-1,1,1,1,1,21,0,21,0,0,0.0,8.696125,0.0,8.8,0.0,8.696125,ef451953badced2ed112ba4ffb997f9d2a7e7c444a09e8092665eadd9f24109e,4066801753f5b2a2402a46e231cc1f85fd52a5970e937644b99fc1cbb3bfeb5b,ff357861a0053b817523940844e8d285a915e3aa22051b26a102cf5be7ecfef6,64184e229b263107bc2b804c6625db1341ff2bb731874b0bcc2fe6544e0bc9ff,356175872,4.790938599966466,
-3nNcZdcdvU$_$5,-3nNcZdcdvU,5,Noncompliance can result in legal liability to you and to the school district in which you are employed.,79c1af6a9ee4395006d8253e8a2c10d2fa1dff409dcb41389b13cd8388f6d6f5,-3nNcZdcdvU/5.mp4,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,7.867969,b4c810fd22c202d6a7429f73c7815846a774d8487e7f269bec558b953f4ff6e9,PASS,features/-3nNcZdcdvU___5.npz,84d2e4d512901245b4e71dd5fc00100e51091c2c18160c7a5d7bc04418e2919c,182821,text|audio|video,7.866666666666666,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",18,774,236,UNCERTAIN_REVIEW,clip,not_asserted,clip_only,1,1,1,1,-1,1,1,1,1,18,0,18,0,0,0.0,7.7885625,0.0,7.866666666666666,0.0,7.7885625,ef451953badced2ed112ba4ffb997f9d2a7e7c444a09e8092665eadd9f24109e,4066801753f5b2a2402a46e231cc1f85fd52a5970e937644b99fc1cbb3bfeb5b,ff357861a0053b817523940844e8d285a915e3aa22051b26a102cf5be7ecfef6,64184e229b263107bc2b804c6625db1341ff2bb731874b0bcc2fe6544e0bc9ff,349126656,3.40050660003908,
-571d8cVauQ$_$0,-571d8cVauQ,0,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village.",3cc4662c85af842f5e682e4ef26cf9eb3bebd97881a87999db6c236539a3d598,-571d8cVauQ/0.mp4,defc62e1530d9b0cd27f2acfe042b71dd84d7e8c85f1df261f04912091976088,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,5.066667,e709d4cadb3bda38703d2a1fcd4d1f93803e026957dafeeabdb1a8566a555269,PASS,features/-571d8cVauQ___0.npz,f979fd6f1890e136bead55e8c611e326e630cefa0f97e3bd52152620f8ff611f,94621,text|audio|video,5.166666666666667,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",12,495,152,UNCERTAIN_REVIEW,clip,not_asserted,clip_only,1,1,1,1,-1,1,1,0,0,12,0,12,0,0,0.0,4.9923125,0.0,5.166666666666667,0.0,4.9923125,ef451953badced2ed112ba4ffb997f9d2a7e7c444a09e8092665eadd9f24109e,4066801753f5b2a2402a46e231cc1f85fd52a5970e937644b99fc1cbb3bfeb5b,ff357861a0053b817523940844e8d285a915e3aa22051b26a102cf5be7ecfef6,64184e229b263107bc2b804c6625db1341ff2bb731874b0bcc2fe6544e0bc9ff,355041280,1.6556221999926493,
-571d8cVauQ$_$5,-571d8cVauQ,5,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there and let everybody knows this is a very valuable spot.",750ec610bc9cc014a16efdc1e076aa87e28e6eec9fa8ef31a42f0e43fc8a6847,-571d8cVauQ/5.mp4,e304c03fac1f477823fe0926c4fb421b9c4e4091f85718b729afe856c24a7d3e,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,15.272982,afbb8ac296712883ecc94862c6d68ba1e6ecaa40042e5fb7252f637af0fd562a,PASS,features/-571d8cVauQ___5.npz,e697fbf97d1bf1db734245079f05651dc37b5b23f8cd701d16ce08fbb92f8579,270475,text|audio|video,15.266666666666666,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",43,1507,455,UNCERTAIN_REVIEW,clip,not_asserted,clip_only,1,1,1,1,-1,1,1,0,0,43,0,43,0,0,0.0,15.11525,0.0,15.266666666666666,0.0,15.11525,ef451953badced2ed112ba4ffb997f9d2a7e7c444a09e8092665eadd9f24109e,4066801753f5b2a2402a46e231cc1f85fd52a5970e937644b99fc1cbb3bfeb5b,ff357861a0053b817523940844e8d285a915e3aa22051b26a102cf5be7ecfef6,64184e229b263107bc2b804c6625db1341ff2bb731874b0bcc2fe6544e0bc9ff,355233792,3.7032080000499263,
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,8,Many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value.,d8191a0e9bf808171a0610c82825567e304d6950a9b1ee4e9c3f57fdd67c5add,-6rXp3zJ3kc/8.mp4,59b77a0f873b7fa95e7327b93d64bb5a4bdae84039321988ef70bba8e63ee1ae,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,12.805013,4d9288b9b16f577a3ad3d526911c7ba202cf2f88ed339125d93eab4e54798519,PASS,features/-6rXp3zJ3kc___8.npz,983ad6c1680459ed546c054873dc22e147c655685182875c50005f3f4739e996,304141,text|audio|video,12.8,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",34,1269,384,UNCERTAIN_REVIEW,clip,not_asserted,clip_only,1,1,1,1,-1,1,1,1,1,34,0,34,0,0,0.0,12.738,0.0,12.8,0.0,12.738,ef451953badced2ed112ba4ffb997f9d2a7e7c444a09e8092665eadd9f24109e,4066801753f5b2a2402a46e231cc1f85fd52a5970e937644b99fc1cbb3bfeb5b,ff357861a0053b817523940844e8d285a915e3aa22051b26a102cf5be7ecfef6,64184e229b263107bc2b804c6625db1341ff2bb731874b0bcc2fe6544e0bc9ff,351936512,5.878537599928677,
-9y-fZ3swSY$_$0,-9y-fZ3swSY,0,"is, you can say, hey I really like baby skin, they are so soft, they don’t have any hair on their face",d81896a67e5f274d2c16dbf281a45824f967fe604ce10737525c3ccae7723a3e,-9y-fZ3swSY/0.mp4,29a1fd181293cdbe24e50edcad51e3cc0f27a5824d840bcc39d453b272fb6e3c,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,6.833333,64a7d3c3496313f35491a5c7be648c9d0ff98a20a07936df82539fd3e419bbcd,PASS,features/-9y-fZ3swSY___0.npz,12d1677b470406ace26c8b7e189bded153d0feabfe5f7e4b32cd1fbdfb57f582,181583,text|audio|video,6.8999999999999995,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",22,671,205,UNCERTAIN_REVIEW,clip,not_asserted,clip_only,1,1,1,1,-1,1,1,1,1,22,0,22,0,0,0.0,6.757,0.0,6.8999999999999995,0.0,6.757,ef451953badced2ed112ba4ffb997f9d2a7e7c444a09e8092665eadd9f24109e,4066801753f5b2a2402a46e231cc1f85fd52a5970e937644b99fc1cbb3bfeb5b,ff357861a0053b817523940844e8d285a915e3aa22051b26a102cf5be7ecfef6,64184e229b263107bc2b804c6625db1341ff2bb731874b0bcc2fe6544e0bc9ff,350199808,3.6629992000525817,
-9y-fZ3swSY$_$4,-9y-fZ3swSY,4,I’ve seen this in US or in the US,90e4f5f3d707d702db91e02acb36aef59bcc5989d01839f4e69891616d660847,-9y-fZ3swSY/4.mp4,fe04a26710e85c58bdaad5a48618c7e0f742d82b0d920eb4a046c8f14a6921dc,827334f782b1f242c84ad944a657bc7f7c63643f71ae9c977811a3eecdd3ab33,2.821029,7e79ea944070ba2153690032a6e79481bba994e9fd85518d143d83bd755dcd25,PASS,features/-9y-fZ3swSY___4.npz,6fc1703e1de300a437811e9184b37499fd37e004beef47d13f910aef8c29227d,82090,text|audio|video,2.8,"{""audio_native"": 25, ""text_word"": 768, ""video_native"": 52, ""word_audio_mean_std"": 50, ""word_vision_mean_std"": 104}",9,262,81,UNCERTAIN_REVIEW,clip,not_asserted,clip_only,1,1,1,1,-1,1,1,1,1,9,0,9,0,0,0.0,2.6648125,0.0,2.8,0.0,2.6648125,ef451953badced2ed112ba4ffb997f9d2a7e7c444a09e8092665eadd9f24109e,4066801753f5b2a2402a46e231cc1f85fd52a5970e937644b99fc1cbb3bfeb5b,ff357861a0053b817523940844e8d285a915e3aa22051b26a102cf5be7ecfef6,64184e229b263107bc2b804c6625db1341ff2bb731874b0bcc2fe6544e0bc9ff,357601280,2.0294127999804914,
